google/gsoc2012/jcody/5001,Joey Cody,Code for America: Brigade 2012 GSoC Proposal,Code for America
google/gsoc2012/josch/4001,Johannes Schauer,Port bootstrap build-ordering tool ,Debian Project 
google/gsoc2012/jfallon/8001,John Fallon,Collaboration in Visualization,Portland State University
google/gsoc2012/jsalatas/13001,John Salatas,Letter to Phoneme Conversion in sphinx4,CMUSphinx
google/gsoc2012/ghostandthemachine/8001,Jon Rose,"Lightweight Clojure editor, repl, and documentation browser",Clojure/dev
google/gsoc2012/humbert/3001,Jonas Arnfred,Debugging of Parser Combinators,Scala Team
google/gsoc2012/exxo/9001,Jonathan Calmels,IPV6 Improvement [Userland],FreeBSD
google/gsoc2012/jssolichin/13001,Jonathan Solichin,Creating a Responsive skin for XWiki,XWiki
google/gsoc2012/jonathancornelissen/16001,Jonathancornelissen,Extend RTAQ for additional high frequency time series analysis,R project for statistical computing
google/gsoc2012/juliancromarty/6001,Jooles,Paris Traceroute development,Measurement Lab
google/gsoc2012/joost/10001,Joost Verdoorn,Overhaul the Applications View,GNOME
google/gsoc2012/jordan9481/11001,Jordan Kellerstrass,Merge Concept Module ,OpenMRS
google/gsoc2012/nenjordi/37002,Jordi Ortiz,Rewrite avserver ,Libav
google/gsoc2012/vino/38001,Jorge Rodriguez,User Interface Tasklist,Blender Foundation
google/gsoc2012/josmas/3001,Jose Dominguez,AppInventor Components to pull data feeds and display them,MIT Center for Mobile Learning @ The Media Lab
google/gsoc2012/joehms22/28002,Joseph,Upgrade Dojo to bring Evergreen to the modern web.,Evergreen
google/gsoc2012/josephboudou/17001,Joseph Boudou,[ResK] Propositional resolution proof compression using sequent calculus,Computational Science and Engineering at TU Wien
google/gsoc2012/hardolaf/9001,Joseph Warner,Auth Plugin Refactoring & User Integration ,phpBB Forum Software
google/gsoc2012/j_mabrey/3001,Josh M,Migrating the Existing Web Application from PHP to Java,Differ
google/gsoc2012/joshuaalbers/8001,Joshua Albers,Streamlining Bluetooth Connectivity in Processing for Android,Processing
google/gsoc2012/joshuabeck/31002,Joshua Beck, Gnash: Implement OpenGLES2 Renderer,GNU Project
google/gsoc2012/josip_lisec/18002,Josip Lisec,CernVM Co-Pilot log analysis and visualisation,CERN SFT
google/gsoc2012/jovanka_g/35002,Jovanka,Ability to save and load virtual machine boxes ,GNOME
google/gsoc2012/jamp/20001,jpulmann,Creating python bindings to lib2Geom,Inkscape
google/gsoc2012/jrsantos/8001,JRSantos,Unit tests for the Jikes RVM,Jikes RVM
google/gsoc2012/jsandoval/19001,Juan Pablo Sandoval A.,Rizel - Multidimensional Profiler,ESUG (European Smalltalk User Group)
google/gsoc2012/fzzbt/18002,Juhani Åhman,"PySoy: Improve testing, documentation and examples",Python Software Foundation
google/gsoc2012/shante/26002,Julia ,UDF file system server,"HelenOS group at Department of Distributed and Dependable Systems, Charles University in Prague"
google/gsoc2012/juliaycheng/16001,Julia Y. Cheng, Automated Attack Community Graph Construction,The Honeynet Project
google/gsoc2012/tangkk/24001,Junqi Deng,Adding a data prefetching transformation to LLVM Polly – generating load-balanced and coarse-grain loop pipelinable code for more task level parallelism and data locality,The LLVM Compiler Infrastructure 
google/gsoc2012/justast_bc/39002,Justas Tomkus,Justas Tomkus: Particle engine for Battle For Wesnoth,Battle For Wesnoth
google/gsoc2012/jharper1/5001,Justin,Security Sandbox,Parrot Foundation
google/gsoc2012/j_grana/8001,Justin Grana,Empirical Likelihood in Statsmodels,Python Software Foundation
google/gsoc2012/norgonq/23001,Justs,MASTodon - a Java tool for the summary and visualization of large sets of phylogenetic trees.,National Evolutionary Synthesis Center
google/gsoc2012/jvoisin/54002,jvoisin,Tails Server,Electronic Frontier Foundation/The Tor Project
google/gsoc2012/jos/58002,Józef Kucia,Implement missing functions in D3DX9,Wine (a project of Software Freedom Conservancy) 
google/gsoc2012/lurimax/28001,Jørn Lomax,Fedora Audio spin,The Fedora Project
google/gsoc2012/kailaspatil/20001,Kailas,User-Specified Content Security Policy,Mozilla
google/gsoc2012/kanikagoyal/25001,Kanika Goyal,Plagiarism API improvements,Moodle
google/gsoc2012/dontulakapil/22001,kapil,Word-Level Highlighting Synchronized with TTS,Benetech
google/gsoc2012/azzurrio/20001,Karim El Husseiny,Fair Use Tool Revamping,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/karolbadowski/33001,Karol Badowski,Off-Screen Particles and mass-spring models visualisation,OGRE (Object-Oriented Graphics Rendering Engine) 
google/gsoc2012/gkarthik_92/23001,Karthik,Data Visualization of Gene-Disease Links Using Graphical Networks,Crowdsourcing Biology
google/gsoc2012/kfeeney/7002,Kate Feeney,Extending App Inventor's capabilities,MIT Center for Mobile Learning @ The Media Lab
google/gsoc2012/kaviththiranga/27001,Kavith Thiranga,A Joomla Platform Library to compile and compress Javascript and CSS files,Joomla!
google/gsoc2012/klocatelli/18001,Kento Locatelli,Proposal for a new cross-platform educational application,Tux4Kids
google/gsoc2012/kpolulak/34002,Kevin Polulak,Update the RTEMS TCP/IP Stack,RTEMS Project
google/gsoc2012/kevinwuhoo/7001,Kevin Wu,A Scalable and Efficient Storage System of GeneLists and Enrichment Score Computation,Crowdsourcing Biology
google/gsoc2012/zibon_cse_du/8001,Khondoker Md. Razequl Islam,Implementation of Bidirectional Search Algorithm for PGRouting,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/chachcha/9001,Khushi Chachcha,GeneMANIA plugin for MedSavant,National Resource for Network Biology (NRNB)
google/gsoc2012/nomel7/11001,Kieran,The Tahrir Project,Freenet Project Inc
google/gsoc2012/fyorl/10001,Kim Mantas,Attachment Improvements,phpBB Forum Software
google/gsoc2012/kl_7/12001,Kirill,Brining more localization capabilities to twitter-cldr-rb gem.,Twitter
google/gsoc2012/kokeroulis/18001,kokeroulis,Integrate kwin with Plasmate SDK,KDE
google/gsoc2012/tnkousik/12001,Kousik Kumar T N,Table Improvements,abiword
google/gsoc2012/krips89/26001,Kripa,2D Image Drawing Operators from VTK in PCL,Point Cloud Library (PCL)
google/gsoc2012/kristen/29001,Kristen Aw,Realistic Comet Rendering,Stellarium
google/gsoc2012/kritarth/12001,Kritarth Anand,Apache Stanbol: Entity Disambiguation,Apache Software Foundation
google/gsoc2012/krzykwas/36002,Krzysztof Kwaśniewski,Implement an RHQ agent in Python,JBoss Community
google/gsoc2012/kiryx/8001,Krzysztof Nowak,"Combat AI, Diplomacy and Personalities",Unknown Horizons and FIFE
google/gsoc2012/saila/45001,Kseniia Shumelchyk,Develop an R package interfacing the computer algebra system Maxima,R project for statistical computing
google/gsoc2012/ksenija_bestuzheva/4001,Ksenija Bestuzheva,Dynamic modelling improvements,ASCEND
google/gsoc2012/ksuzee/17001,Ksenija Slivko,Code Refactoring for Reduced Maintenance Cost,BRL-CAD
google/gsoc2012/kelwya/23001,Kun Yang,Improve our Android application sandbox (DroidBox),The Honeynet Project
google/gsoc2012/lali/16001,Lali Devamanthri,Insight Use Cases for Calendar,The Fedora Project
google/gsoc2012/lannie/4001,Lanih ,Open photosite with cool features and smartphone integration,FOSSASIA
google/gsoc2012/pushpalanka/31002,Lanka,Implement the W3C XML Digital Signatures for Widgets Specification in Apache Wookie,Apache Software Foundation
google/gsoc2012/larswassermann/23001,Lars,ARM JITer for Squeak VM,ESUG (European Smalltalk User Group)
google/gsoc2012/shocklateboy92/15001,Lasath Fernando,Message Filtering Plugin System,KDE
google/gsoc2012/lcontzen/13001,Laurent C,Creation of a new library providing models and widgets to display and choose contacts,GNOME
google/gsoc2012/lega/17002,Lega Sergey,C++11 regex support in libstdc++,GCC - GNU Compiler Collection
google/gsoc2012/t_unix/30001,Leif,Get the C backend in shape and into trunk,SWIG
google/gsoc2012/lenna/23001,Lenna Peterson,Diff My DNA: Development of a Genomic Variant Toolkit for Biopython,Open Bioinformatics Foundation
google/gsoc2012/lexmiir/56002,lexmiir,Scratch to Catroid Project Converter and Catroid as a Typeless Programming Language,Catroid Project
google/gsoc2012/light_yang/26001,light,C# Code Actions and Code Issue Inspections,Mono Project
google/gsoc2012/kulakova_lina/26001,Lina Kulakova,NTL/Univariate polynomials and factorization library,Sage Mathematical Software System
google/gsoc2012/pypt/26002,Linas Valiukas,"Media Cloud multi-language support via plug-in infrastructure, plus an automatic stemmer and a stopword list generator",Berkman Center for Internet & Society at Harvard University
google/gsoc2012/shainer/23001,Lisa,"Solid API extension for partitioning, and a Dolphin plugin to use it",KDE
google/gsoc2012/loganaden/18001,Loganaden Velvindron,Privilege Separation in DragonflyBSD,DragonFly BSD
google/gsoc2012/lorehead/36001,Loren Davis,Implement Concurrent Hash-table / Hashmap,haskell.org
google/gsoc2012/lucastdcj/37002,Lucas Castro,Joomla Translation,Joomla!
google/gsoc2012/lfzawacki/36002,Lucas Fialho Zawacki,Joystick configuration and testing applet,Wine (a project of Software Freedom Conservancy) 
google/gsoc2012/llg/25002,Lucas Lira Gomes,Social Music - Tomahawk features in Amarok,KDE
google/gsoc2012/lesteve/19001,Luis Esteve Elfau,GNSS Receiver on GNU Radio,GNU Project
google/gsoc2012/ukasz/18002,Lukas,Slow hashes,Openwall
google/gsoc2012/lukasm/11001,Lukas Meindl,CEGUI Samples Framework,WorldForge
google/gsoc2012/mokrzu/19001,Lukasz Mokrzycki,"NERD - NEuRonalDatabase, Lukasz Mokrzycki",International Neuroinformatics Coordinating Facility
google/gsoc2012/lfrisken/18001,Luke Frisken,Precision Modeling Tools,Blender Foundation
google/gsoc2012/luisgabriel/10001,Luís Gabriel Lima,QMLify Plasma widgets,KDE
google/gsoc2012/lynnewallace/14001,Lynne Wallace,Dalvik back end for the JRuby compiler,The JRuby Project
google/gsoc2012/sharan_monikantan/6001,M Sharan Kumar,improved performance regression monitoring and data storage,Drizzle
google/gsoc2012/shidash/41001,M. C. McGrath,Global General Assembly,Portland State University
google/gsoc2012/m2ym/6001,m2ym,GNU Emacs Native Profiler,GNU Project
google/gsoc2012/sza/13001,Maciej Szawłowski,Further extend Capture-HPC with possibility of detecting malicious behavior on Linux Machines,The Honeynet Project
google/gsoc2012/magdalena/12001,Magdalena Nowak,Control Panel,Wine (a project of Software Freedom Conservancy) 
google/gsoc2012/force13/69002,mahesh gondi,Android / Lightweight Webservices with Monkey,Monkey HTTP Daemon
google/gsoc2012/colorines/60002,Mai Giménez, OAuth integration,Sakai Project
google/gsoc2012/maikumori/11001,Maiku Mori,MoinMoin 2.0 Plugin System,MoinMoin Wiki
google/gsoc2012/mailson/22002,Mailson D. Lira Menezes,Tile based rendering in Okular page view,KDE
google/gsoc2012/makarov/27005,Makarov Dmitry,Text mining add-on for Orange,Orange – Data Mining Fruitful & Fun
google/gsoc2012/maker/20001,maker,Anonymous Python Application Framework,Electronic Frontier Foundation/The Tor Project
google/gsoc2012/mcsim/46002,Maksym Planeta,[HURD] Disk I/O Performance Tuning ,GNU Project
google/gsoc2012/malikb979/9001,Malik Butler,"Create an End-User Defined, Dynamic Rank Structure Within the Guild Manager",WorldForge
google/gsoc2012/malithd/15001,Malith,Implement a Collection of Integration Patterns for Synapse,Apache Software Foundation
google/gsoc2012/mananks/18001,Manan Shah,Inclusion of Attilio Meucci's implementations in ReturnAnalytics,R project for statistical computing
google/gsoc2012/mandiwangm/13001,Mandi Wang,Extend MOSES to Encompass Primitive Recursive Functions Using Fold,OpenCog Foundation
google/gsoc2012/manindra29/17001,Manindra Moharana,Sketch Assistant,Processing
google/gsoc2012/manu4543/15001,Manu Chaudhary,Enhancing Feedback module (D7),Drupal
google/gsoc2012/manuranga/18002,manuranga,A better plan/data flow visualizer for Pig,Apache Software Foundation
google/gsoc2012/mbartnic/19001,Marcin Bartnicki,Managed ILAsm and ILDasm implementations,Mono Project
google/gsoc2012/mcfoi/4001,Marco,Porting discontinued Axios Spatial Tools into uDig core 1.3,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/jeko/25002,Marco Castelluccio,Native Webapps Support on Linux,Mozilla
google/gsoc2012/mcecchetti/42003,Marco Cecchetti,Enhanced Impress svg export filter,LibreOffice
google/gsoc2012/cardinot/26001,Marcos Cardinot,Reverse Interactive Graphics Reading,Scilab
google/gsoc2012/mhuewe/30003,Marcus Hüwe,osc2 client,openSUSE
google/gsoc2012/mkchmiel/16001,Marek K Chmiel,Encryption – digital signature security,Wine (a project of Software Freedom Conservancy) 
google/gsoc2012/maria_christopoulou/18001,Maria Christopoulou,"A proposal for integration of a ""Design of experiments"" module in Scilab",Scilab
google/gsoc2012/mareo/33001,Marin Hannache,Add NFS support to iPXE,iPXE
google/gsoc2012/marioh/8001,Marios Makris,LTP: Fix/Implement automated kernel/glibc tests,openSUSE
google/gsoc2012/mtibeica/27001,Marius Tibeica,Node.js Bindings,Xapian Search Engine Library
google/gsoc2012/zaki/28001,Marjan Povolni,"The worlds fastest parallelized GFF3/GTF parser in D, and an interfacing biogem plugin for Ruby",Open Bioinformatics Foundation
google/gsoc2012/cafarm/15001,Mark,Maven FOSS Repository Extension,The Fedora Project
google/gsoc2012/markflorisson88/30002,Mark Florisson,Fast Numerical Computing with Cython,Python Software Foundation
google/gsoc2012/mark_h/7001,Mark Holland,Adding functionality and aesthetic/usability improvements to the Pandroid agent.,Artica ST ( Pandora FMS )
google/gsoc2012/iam12andwhatisthis/8002,marki,Fragments for Catroid,Catroid Project
google/gsoc2012/mdim/10001,Marko Dimjašević,Model Checking Android Applications,The Java Pathfinder Team
google/gsoc2012/martas/9001,martas,Implementing puppet modules which deploy multi-tenant mediawiki ,Puppet Labs
google/gsoc2012/hundeboll/4001,Martin Hundebøll,Generic Fragmentation/Aggregation Framework for batman-adv,freifunk
google/gsoc2012/mck182/47003,Martin Klapetek,Social services integration with KDE Workspaces (Plasma Desktop & Active),KDE
google/gsoc2012/mkuettler/13001,Martin Küttler,New interface for Cantor,KDE
google/gsoc2012/maleo/5001,Martin Leopold,Debugging Tool for the Processing Development Environment,Processing
google/gsoc2012/tinchodias/24001,Martín Dias,Package management with Fuel,ESUG (European Smalltalk User Group)
google/gsoc2012/matas/24001,Matas,Improve and migrate GES ,GStreamer
google/gsoc2012/zecaurubu/8001,Mateus Araujo Borges,Sanitizer validation using symbolic execution and library cross-checking  ,The Java Pathfinder Team
google/gsoc2012/mlen/2001,Mateusz Lenik,Expanding features of Puppet's Ruby DSL,Puppet Labs
google/gsoc2012/pielas/12001,Mateusz Piękos,Swift Conversation History,XMPP Standards Foundation
google/gsoc2012/matevzmihalic/9001,Matevz Mihalic,Web shop for router kits,freifunk
google/gsoc2012/matildabernard/8001,Matilda Bernard,Integration of multiple theme based activities in the existing GCompris suite,GNOME
google/gsoc2012/matjaz_dolgan/5001,Matjaz,Equipment warehouse/inventory plugin (wlan Slovenija),freifunk
google/gsoc2012/matteo_ceccarello/8001,Matteo Ceccarello,Conformance Checker,The Java Pathfinder Team
google/gsoc2012/dudley/12001,Matteo Nardone,Mobile Application for managing the Ninux Network,Ninux.org
google/gsoc2012/mattmik/10001,Matthew Mikolay,Vinyl Pass-Through,Mixxx DJ Software
google/gsoc2012/crasx/4001,Matthew Ramir,Open education through OpenBadges,Mozilla
google/gsoc2012/matthiask/22001,Matthias K.,Complete AppStream/Software-Center,openSUSE
google/gsoc2012/matthias_meisinger/2001,Matthias Meisinger,GeoGebraTube App for multiple mobile platforms,International GeoGebra Institute
google/gsoc2012/matthieu_ensimag/26001,Matthieu,Additional performance measures and attribution functionality to PerformanceAnalytics,R project for statistical computing
google/gsoc2012/k3pm8z/32002,Matúš Kukan,Telepathy for collaboration,LibreOffice
google/gsoc2012/strohel/15001,Matěj Laitl,Statistics synchronization for pluggable devices and Last.fm,KDE
google/gsoc2012/maulikkamdar/73002,Maulik Kamdar,Reactome Pathway Summary Visualization ,Genome Informatics
google/gsoc2012/donadiomauro/4001,Mauro Donadio,AContent to ATutor Live Content Link,Inclusive Design Institute
google/gsoc2012/max_brister/23001,Max Brister,GNU Octave - Implement JIT compiling,GNU Project
google/gsoc2012/kain88/15001,Max Linke,Library Database Management,Mixxx DJ Software
google/gsoc2012/maximenicco/6001,Maxime Nicco,Implement GEGL ops,GIMP
google/gsoc2012/mhils/12001,Maximilian Hils,HoneyProxy - HTTP(S) Traffic Investigation,The Honeynet Project
google/gsoc2012/maxludvigsson/9001,Maximilian Ludvigsson,Web annotation interface,Crowdsourcing Biology
google/gsoc2012/mayankgupta2005/55002,Mayank Gupta,Improve SCORM 2004 Support In Moodle,Moodle
google/gsoc2012/mayankjuneja/33001,Mayank Juneja,"Patches, Release and Testing Automation",Systers
google/gsoc2012/mayanks43/61002,Mayank Singh,More Controller Support for PySoy,Python Software Foundation
google/gsoc2012/mdittmer/18001,mdittmer,Accelerating Haskell Application Development,haskell.org
google/gsoc2012/medivhc/35003,Medivhc,Bdbuf Improvements,RTEMS Project
google/gsoc2012/medo42/8001,Medo42,Netplay for Hedgeroid,Hedgewars Project
google/gsoc2012/m_22/18001,Meg Ford,GNOME Documents UIs for Viewing and Editing of File Metadata,GNOME
google/gsoc2012/kmitmeher/3001,Meher Vamsi,Save ggb files directly to Google Docs,International GeoGebra Institute
google/gsoc2012/mela_galea/38003,Melania Galea,Create an OpenNMS Android App,OpenNMS
google/gsoc2012/meli0306/2001,Melanie,Apps for iPad and Android,International GeoGebra Institute
google/gsoc2012/xymeng/26001,Meng Xiangyun,Port Hedgewars to web browsers using WebGL,Hedgewars Project
google/gsoc2012/kane/39001,Mesut,New Cross-Platform 3D Display Manager,BRL-CAD
google/gsoc2012/mesutcang/19007,Mesut Can Gürle,Android-based application for devices autoconfiguration,PacketFence
google/gsoc2012/mesutcank/69003,Mesutcan Kurt,Multiplayer Extension/Improvement,Unknown Horizons and FIFE
google/gsoc2012/mfronczak/13001,mfronczak,New Maltese-Arabic language pair,Apertium
google/gsoc2012/finbrein/29001,Michael Aro ,Re-implement BIRT module on top of reporting module,OpenMRS
google/gsoc2012/mdaines/16002,Michael Daines,Data Tile Service,OpenStreetMap
google/gsoc2012/mkirby91/14001,Michael Kirby,A Direct Interface Between R and Cytoscape,National Resource for Network Biology (NRNB)
google/gsoc2012/mlandis/25001,Michael Landis,Phylowood.js: Browser-based Interactive Animations of Ancestral Dispersal and Diversity Patterns,National Evolutionary Synthesis Center
google/gsoc2012/schu/10001,Michael Schubert,Finishing network support for libgit2,Git
google/gsoc2012/mtee/7001,Michael Timofejev,Search API Statistics,Drupal
google/gsoc2012/mweylandt/22001,Michael Weylandt,Improvements to xts time series visualization and subsetting,R project for statistical computing
google/gsoc2012/bitmap/18002,Michael Wiencek,Relationship Editor,MetaBrainz Foundation Inc.
google/gsoc2012/michaelz/27001,Michael Z.,Android back-end,"Pidgin, Finch, and libpurple"
google/gsoc2012/mkepka/8001,Michal Kepka,Geoserver: Publishing hierarchical spatial data in form of dynamically loaded KML,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/uricamic/13001,Michal Uřičář,Bundle method solver for structured output learning,Shogun Machine Learning Toolbox
google/gsoc2012/mtjm/3001,Michał Masłowski,recutils – Add support for indexes,GNU Project
google/gsoc2012/michal_ochman/15001,Michał Ochman,Improve Behaviour Testing Framework and Test Suite,SilverStripe
google/gsoc2012/dmp/63002,Michał Poczwardowski,OBEX Filesystem In Userspace,BlueZ
google/gsoc2012/mtlee/4001,Michelle Lee,Data Visualization,Code for America
google/gsoc2012/miggaiowski/16001,Miguel Gaiowski,Virtual Image creation web interface,Debian Project 
google/gsoc2012/mihainda/6001,Miha,Client-side graphs drawing (wlan slovenia),freifunk
google/gsoc2012/noughmad/69002,Miha Čančula,Template System for KDevelop,KDE
google/gsoc2012/mbivol/19003,Mihai Bivol,Omega: Dynamic Snippets,Xapian Search Engine Library
google/gsoc2012/mihaicarabas/10001,Mihai Carabas,Add SMT/HT awareness to DragonFlyBSD scheduler,DragonFly BSD
google/gsoc2012/mihaisoloi/11001,Mihai Soloi,Distribuited mailbox indexing over HBase/HDFS,Apache Software Foundation
google/gsoc2012/miikah/29003,MiikaH,Smoke Simulator Improvements,Blender Foundation
google/gsoc2012/mikachu/10001,Mikael Magnusson,Unified Transformation Tool,GIMP
google/gsoc2012/mikalaj/18001,Mikalai Parafeniuk,Sparse Matrix-Vector multiplication(SpMV) on Hama,Apache Software Foundation
google/gsoc2012/mikel/7001,Mikel Artetxe,Make lttoolbox-java embeddable,Apertium
google/gsoc2012/refold/64002,Mikhail Glushenkov,Sandboxed builds and isolated environments for Cabal,haskell.org
google/gsoc2012/miklos1/12001,Miklós HOMOLYA,TLS (HTTPS) support in net/tnftp,The NetBSD Foundation
google/gsoc2012/milindapathirage/11001,Milinda Pathirage,Provide cloud bursting like capabilities to Airavata computational workflows integrating with Apache Whirr,Apache Software Foundation
google/gsoc2012/milos/20003,Milos Hadzic,JRuby Kilim Integration,The JRuby Project
google/gsoc2012/wumalbert/25001,Min WU,Graph Streaming,Gephi Consortium
google/gsoc2012/mssola/20001,Miquel Sabaté,Improve KDevelop Ruby Support,KDE
google/gsoc2012/mlevar/5001,Miran Levar,Multi-Target Learning for Orange,Orange – Data Mining Fruitful & Fun
google/gsoc2012/misha_bear/17002,Misha,Formalization of Correct Usage of Kernel Core API,The Linux Foundation
google/gsoc2012/moguri/31002,Mitchell Stokes,BGE Converter Improvements,Blender Foundation
google/gsoc2012/nufail/30002,Mohamed Nufail,Improve Derby's Code Coverage,Apache Software Foundation
google/gsoc2012/rashad/23002,Mohammed Rashad,Complex Image Processing Chain and Under Water Image Processing using pyossim,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/mohitkharb/10001,Mohit Kumar,Object Based Image Analysis Tools for Opticks,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/mohyt/14001,Mohit Srivastava,Extend JSON server to support more than just key-value operations,Drizzle
google/gsoc2012/syd/17001,monstrousmoonshine,Obfuscating the Encryption in a HTTP-based Obfsproxy protocol,Electronic Frontier Foundation/The Tor Project
google/gsoc2012/montellese/3001,Montellese,Advanced Library Filtering in XBMC,XBMC Foundation
google/gsoc2012/monty11ez/7001,Monty Chaney-Geib,Port TrueCrypt as a geom_gate userland disk device implementation (GSoC),FreeBSD
google/gsoc2012/melges/16002,Morgen Matvey,Implement regular expressions to C++,GCC - GNU Compiler Collection
google/gsoc2012/ritze/8001,Moritz Lüdecke,Helping on anjuta mades everybody happy,GNOME
google/gsoc2012/mpp/7001,mpp,NAT64/46 and NPTv6 integration with NPF,The NetBSD Foundation
google/gsoc2012/mrzero/4001,Mr Zero,Peer to peer social network based on sharknet prototype ,FOSSASIA
google/gsoc2012/muditrajgupta/79002,Mudit Raj Gupta,HLA interfaces for ns-3,The ns-3 Network Simulator Project
google/gsoc2012/sherzodbek/19001,Muratov,1. Analysis and Reporting data collected in Sigmah; 2. Offline mode for Sigmah,Sigmah
google/gsoc2012/mvorobey/9001,Mykola Vorobey,In-page Localization,OpenMRS
google/gsoc2012/thealphanerd/8002,Myles Borins,"Inclusive, Web-based Musical Instruments",Inclusive Design Institute
google/gsoc2012/nbprashanth/60002,N.B.Prashanth,Upstream/Downstream Tracker,openSUSE
google/gsoc2012/nfrancisco/7001,Nadal,Add tests and educational games support to gvSIG Educa/Batoví,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/nadee/19001,Nadeeshani Hewage,Database Synchronization with SymmetricDS,OpenMRS
google/gsoc2012/nakull/31001,Nakull Gupta,Import To/From XML,Grassroots DICOM
google/gsoc2012/naman22/37001,Naman Gupta,Improving support for Water Bodies,Crystal Space
google/gsoc2012/sunshadow/38001,Narendran Thangarajan,OpenMonitor : Inter-Peer Routing Mechanism,Umit Project
google/gsoc2012/natalia/3001,Natalia,PyPi to Debian repository converter,Debian Project 
google/gsoc2012/nimajnebwild/13001,nebw,GPU-Based Neural Simulator,International Neuroinformatics Coordinating Facility
google/gsoc2012/neelshah/10001,Neel Shah,Gesture Recognition and Adding Pen tool to GWT ,International GeoGebra Institute
google/gsoc2012/narangneha03/13001,Neha Narang,New module for Javascript,SWIG
google/gsoc2012/neildhruva/53002,Neil Dhruva,IDEA 36: Data summary of tables in Cytoscape,National Resource for Network Biology (NRNB)
google/gsoc2012/varun_jewalikar/24002,neo01124,Key Detection for Harmonic Mixing,Mixxx DJ Software
google/gsoc2012/nephro/43002,Nephro,Simplifying and extending the LuaAI subsystem,Battle For Wesnoth
google/gsoc2012/nexyon/76002,neXyon,Solar system shadows,Stellarium
google/gsoc2012/ngewif/17001,Ngewi Fet,GNUcash Android Application,GNOME
google/gsoc2012/funnycat1212/6001,Nguyen Hoang Thanh Duc,FUNTIONAL TESTING PLAN FOR THE OFBIZ,Apache Software Foundation
google/gsoc2012/trungnn/8001,Nguyen Ngoc Trung,App Tabs for Thunderbird,Mozilla
google/gsoc2012/nlupfer/5001,Nic Lupfer,M4: Interactive Metadata Browser Extension and Mashup,Interface Ecology Lab @ Texas A&M University
google/gsoc2012/nickrishel/20001,Nicholas Rishel,Multitouch Framework,Blender Foundation
google/gsoc2012/r0265313/25002,Nick Vanbaelen,Parallelization of Layout Algorithms,OGDF - Open Graph Drawing Framework
google/gsoc2012/mamun_nightcrawler/53002,nightcrawler,Face Recognition for Digikam,KDE
google/gsoc2012/nrbafna/20001,Nikhil Bafna,Pidgin Plugin Website,"Pidgin, Finch, and libpurple"
google/gsoc2012/nikhilsomani/12005,Nikhil Somani,Organized Point Cloud Data Operations,Point Cloud Library (PCL)
google/gsoc2012/nikhil9/12001,Nikhil Upadhye,Video Based Speed Limit and Road Sign Detector plugin for JOSM,OpenStreetMap
google/gsoc2012/nkomarov/7001,Nikita Komarov,Implement a Lightweight Data Race Detector for Linux Kernel Modules on x86,The Linux Foundation
google/gsoc2012/ntankovic/41002,Nikola Tanković,LUCENE-3312 Break out StorableField from IndexableField,Apache Software Foundation
google/gsoc2012/flash/12001,Nikolay Baluk,Shoal graphing,Kernel.org - the Linux Kernel Organization
google/gsoc2012/nimanthab/50002,Nimantha Baranasuriya,Patient Dashboard Tabs Loaded via AJAX,OpenMRS
google/gsoc2012/nischayn22/26001,Nischay Nahata,Green SMW,Wikimedia Foundation
google/gsoc2012/napster/30001,nitech,Phone / SMS / VoIP integration with Drupal Commons,Drupal
google/gsoc2012/upcomingnewton/30005,nitin chadha,SimpleUI - Simple Toolkit Abstraction,OpenICC
google/gsoc2012/myth/41002,Nitish Upreti,Check-in Check-out Asset Tracker Plugin for Redmine,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/nityam/15001,Nityam Vakil,Improve OpenFormula-support,KDE
google/gsoc2012/nk/30001,nk,Synchronization of data between GNOWSYS servers,GNU Project
google/gsoc2012/noahktilton/6001,Noah Tilton,Google Summer of Code: ODF Command Line Tools (Draft Proposal),Apache Software Foundation
google/gsoc2012/novar/4001,novar,BOINC on Android,"BOINC project, University of California, Berkeley"
google/gsoc2012/ognjen/25001,Ognjen Bubalo,A Jenkins plugin to visualize Jacoco code coverage reports,JBoss Community
google/gsoc2012/oleg_demchenko/9001,Oleg_Demchenko,Improve the Code Contracts Verifier,Mono Project
google/gsoc2012/oleksandr_dudinskyi/30002,Oleksandr,Port NetBSD's UDF implementation,FreeBSD
google/gsoc2012/sib/32001,Olga,DTLS Heartbeat Extension for GnuTLS,GNU Project
google/gsoc2012/oliveruv/16001,OliverUv,Spatial Queries in CATMAID,International Neuroinformatics Coordinating Facility
google/gsoc2012/omazapa/16002,Omar Andres Zapata Mesa,RootMpi,CERN SFT
google/gsoc2012/mule/5001,Ondrej Moris,OGDF: Hypergraph Layout,OGDF - Open Graph Drawing Framework
google/gsoc2012/orcuna/41002,Orçun Avşar,OpenMonitor - The Aggregator,Umit Project
google/gsoc2012/otinn/14002,Ott Tinn,Common memory safety instrumentation and optimization passes for LLVM,The LLVM Compiler Infrastructure 
